date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:32:02	54892/54892	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20May%202021%2011:18:30%20GMT	https://hamidrezasepehr.com/projects/soori/template/shop-2.html	C:/My%20Web%20Sites/soori/hamidrezasepehr.com/projects/soori/template/shop-2.html	(from https://hamidrezasepehr.com/projects/soori/template/shop.html)
21:32:02	102186/102186	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Apr%202021%2010:00:35%20GMT	https://hamidrezasepehr.com/projects/soori/template/img/nav-2.jpg	C:/My%20Web%20Sites/soori/hamidrezasepehr.com/projects/soori/template/img/nav-2.jpg	(from https://hamidrezasepehr.com/projects/soori/template/shop.html)
21:32:03	31665/31665	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20May%202021%2011:18:24%20GMT	https://hamidrezasepehr.com/projects/soori/template/single-product.html	C:/My%20Web%20Sites/soori/hamidrezasepehr.com/projects/soori/template/single-product.html	(from https://hamidrezasepehr.com/projects/soori/template/shop.html)
21:32:03	29887/29887	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20May%202021%2011:18:52%20GMT	https://hamidrezasepehr.com/projects/soori/template/cart.html	C:/My%20Web%20Sites/soori/hamidrezasepehr.com/projects/soori/template/cart.html	(from https://hamidrezasepehr.com/projects/soori/template/shop.html)
21:32:04	33268/33268	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20May%202021%2011:18:51%20GMT	https://hamidrezasepehr.com/projects/soori/template/checkout.html	C:/My%20Web%20Sites/soori/hamidrezasepehr.com/projects/soori/template/checkout.html	(from https://hamidrezasepehr.com/projects/soori/template/shop.html)
21:32:04	30900/30900	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20May%202021%2011:18:53%20GMT	https://hamidrezasepehr.com/projects/soori/template/blog.html	C:/My%20Web%20Sites/soori/hamidrezasepehr.com/projects/soori/template/blog.html	(from https://hamidrezasepehr.com/projects/soori/template/shop.html)
21:32:04	23457/23457	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20May%202021%2011:18:59%20GMT	https://hamidrezasepehr.com/projects/soori/template/blog-2.html	C:/My%20Web%20Sites/soori/hamidrezasepehr.com/projects/soori/template/blog-2.html	(from https://hamidrezasepehr.com/projects/soori/template/shop.html)
21:32:05	23497/23497	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20May%202021%2011:18:58%20GMT	https://hamidrezasepehr.com/projects/soori/template/blog-3.html	C:/My%20Web%20Sites/soori/hamidrezasepehr.com/projects/soori/template/blog-3.html	(from https://hamidrezasepehr.com/projects/soori/template/shop.html)
21:32:05	331028/331028	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Apr%202021%2010:03:27%20GMT	https://hamidrezasepehr.com/projects/soori/template/img/nav-3.jpg	C:/My%20Web%20Sites/soori/hamidrezasepehr.com/projects/soori/template/img/nav-3.jpg	(from https://hamidrezasepehr.com/projects/soori/template/shop.html)
21:32:05	30906/30906	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20May%202021%2011:18:57%20GMT	https://hamidrezasepehr.com/projects/soori/template/blog-4.html	C:/My%20Web%20Sites/soori/hamidrezasepehr.com/projects/soori/template/blog-4.html	(from https://hamidrezasepehr.com/projects/soori/template/shop.html)
21:32:05	32586/32586	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20May%202021%2011:18:56%20GMT	https://hamidrezasepehr.com/projects/soori/template/blog-5.html	C:/My%20Web%20Sites/soori/hamidrezasepehr.com/projects/soori/template/blog-5.html	(from https://hamidrezasepehr.com/projects/soori/template/shop.html)
21:32:06	23531/23531	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20May%202021%2011:18:54%20GMT	https://hamidrezasepehr.com/projects/soori/template/blog-6.html	C:/My%20Web%20Sites/soori/hamidrezasepehr.com/projects/soori/template/blog-6.html	(from https://hamidrezasepehr.com/projects/soori/template/shop.html)
21:32:06	32884/32884	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20May%202021%2011:18:26%20GMT	https://hamidrezasepehr.com/projects/soori/template/single-blog.html	C:/My%20Web%20Sites/soori/hamidrezasepehr.com/projects/soori/template/single-blog.html	(from https://hamidrezasepehr.com/projects/soori/template/shop.html)
21:32:06	32890/32890	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20May%202021%2011:18:27%20GMT	https://hamidrezasepehr.com/projects/soori/template/single-blog-2.html	C:/My%20Web%20Sites/soori/hamidrezasepehr.com/projects/soori/template/single-blog-2.html	(from https://hamidrezasepehr.com/projects/soori/template/shop.html)
21:32:07	14653/14653	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20May%202021%2011:18:49%20GMT	https://hamidrezasepehr.com/projects/soori/template/footer-1.html	C:/My%20Web%20Sites/soori/hamidrezasepehr.com/projects/soori/template/footer-1.html	(from https://hamidrezasepehr.com/projects/soori/template/shop.html)
21:32:08	172854/172854	---M--	200	added ('OK')	image/jpeg	date:Wed,%2021%20Apr%202021%2006:10:43%20GMT	https://hamidrezasepehr.com/projects/soori/template/img/nav-1.jpg	C:/My%20Web%20Sites/soori/hamidrezasepehr.com/projects/soori/template/img/nav-1.jpg	(from https://hamidrezasepehr.com/projects/soori/template/shop.html)
21:32:08	14572/14572	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20May%202021%2011:18:48%20GMT	https://hamidrezasepehr.com/projects/soori/template/footer-2.html	C:/My%20Web%20Sites/soori/hamidrezasepehr.com/projects/soori/template/footer-2.html	(from https://hamidrezasepehr.com/projects/soori/template/shop.html)
21:32:08	15060/15060	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20May%202021%2011:18:47%20GMT	https://hamidrezasepehr.com/projects/soori/template/footer-3.html	C:/My%20Web%20Sites/soori/hamidrezasepehr.com/projects/soori/template/footer-3.html	(from https://hamidrezasepehr.com/projects/soori/template/shop.html)
21:32:08	14738/14738	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20May%202021%2011:18:45%20GMT	https://hamidrezasepehr.com/projects/soori/template/footer-4.html	C:/My%20Web%20Sites/soori/hamidrezasepehr.com/projects/soori/template/footer-4.html	(from https://hamidrezasepehr.com/projects/soori/template/shop.html)
21:32:09	15060/15060	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20May%202021%2011:18:34%20GMT	https://hamidrezasepehr.com/projects/soori/template/navbar-1.html	C:/My%20Web%20Sites/soori/hamidrezasepehr.com/projects/soori/template/navbar-1.html	(from https://hamidrezasepehr.com/projects/soori/template/shop.html)
21:32:09	15071/15071	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20May%202021%2011:18:33%20GMT	https://hamidrezasepehr.com/projects/soori/template/navbar-2.html	C:/My%20Web%20Sites/soori/hamidrezasepehr.com/projects/soori/template/navbar-2.html	(from https://hamidrezasepehr.com/projects/soori/template/shop.html)
21:32:09	14838/14838	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20May%202021%2011:18:32%20GMT	https://hamidrezasepehr.com/projects/soori/template/navbar-3.html	C:/My%20Web%20Sites/soori/hamidrezasepehr.com/projects/soori/template/navbar-3.html	(from https://hamidrezasepehr.com/projects/soori/template/shop.html)
21:32:10	23771/23771	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20May%202021%2011:18:50%20GMT	https://hamidrezasepehr.com/projects/soori/template/contact.html	C:/My%20Web%20Sites/soori/hamidrezasepehr.com/projects/soori/template/contact.html	(from https://hamidrezasepehr.com/projects/soori/template/shop.html)
